epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6814.02,1.31814,1.16944,1.85914,0.79327,0.85361,0.8423,0.71193,1.2663,0.98368,1.80952,9.55951e-05,9.55951e-05,9.55951e-05
83,6897.65,1.33967,1.18487,1.8618,0.7974,0.85281,0.83806,0.70918,1.26533,0.98185,1.80875,8.70577e-05,8.70577e-05,8.70577e-05
84,6980.23,1.33766,1.19197,1.86268,0.7903,0.85228,0.83647,0.70821,1.26358,0.98081,1.80868,7.89327e-05,7.89327e-05,7.89327e-05
85,7062.68,1.31724,1.19271,1.8544,0.78809,0.8458,0.83639,0.70891,1.26168,0.98057,1.80749,7.12282e-05,7.12282e-05,7.12282e-05
86,7145.05,1.32073,1.14617,1.8557,0.78328,0.84757,0.83832,0.71091,1.26096,0.97963,1.80642,6.39518e-05,6.39518e-05,6.39518e-05
87,7226.51,1.3217,1.16753,1.85762,0.77823,0.85378,0.83947,0.71185,1.26002,0.97676,1.80602,5.71106e-05,5.71106e-05,5.71106e-05
88,7308.49,1.29623,1.14198,1.85642,0.76502,0.86704,0.83838,0.71097,1.26043,0.97614,1.80567,5.07115e-05,5.07115e-05,5.07115e-05
89,7390.13,1.31197,1.14718,1.8638,0.76404,0.87089,0.83799,0.71004,1.26129,0.97604,1.8055,4.47606e-05,4.47606e-05,4.47606e-05
90,7472.38,1.31719,1.14829,1.85518,0.76821,0.86888,0.83848,0.71062,1.2622,0.97456,1.80565,3.9264e-05,3.9264e-05,3.9264e-05
91,7558.63,1.25713,1.00218,1.81616,0.77513,0.86629,0.83944,0.71161,1.2615,0.97373,1.80578,3.4227e-05,3.4227e-05,3.4227e-05
92,7640.37,1.25143,0.97974,1.81263,0.77541,0.86779,0.83885,0.71095,1.2611,0.97392,1.8066,2.96546e-05,2.96546e-05,2.96546e-05
93,7722.81,1.2512,0.97074,1.82513,0.7793,0.86486,0.8397,0.71154,1.26035,0.97441,1.80653,2.55513e-05,2.55513e-05,2.55513e-05
94,7805.24,1.24725,0.97759,1.82249,0.7812,0.86495,0.84012,0.71198,1.26009,0.97464,1.80728,2.19212e-05,2.19212e-05,2.19212e-05
95,7886.01,1.24032,0.96792,1.82329,0.7812,0.86445,0.83879,0.71155,1.26,0.97455,1.80792,1.87678e-05,1.87678e-05,1.87678e-05
96,7968.59,1.24346,0.96771,1.81405,0.78225,0.86236,0.8379,0.71103,1.2601,0.97422,1.80789,1.60943e-05,1.60943e-05,1.60943e-05
97,8050,1.25173,0.96905,1.80832,0.78419,0.85952,0.83739,0.71061,1.25955,0.97528,1.8075,1.39032e-05,1.39032e-05,1.39032e-05
