epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,15923.9,1.27246,1.10677,1.93408,0.79437,0.868,0.83721,0.71016,1.24725,0.94619,1.90329,0.000123596,0.000123596,0.000123596
80,16119.5,1.24563,1.04924,1.92318,0.79745,0.88152,0.84339,0.71592,1.2511,0.94206,1.90495,0.000113873,0.000113873,0.000113873
81,16315,1.24821,1.06429,1.92506,0.79758,0.88338,0.84441,0.71701,1.24515,0.94362,1.90408,0.000104537,0.000104537,0.000104537
82,16510.8,1.2555,1.06532,1.92497,0.79442,0.8908,0.8468,0.71924,1.24195,0.93776,1.90145,9.55951e-05,9.55951e-05,9.55951e-05
83,16706.7,1.24478,1.07063,1.92264,0.79686,0.88425,0.84487,0.71795,1.24251,0.93776,1.89961,8.70577e-05,8.70577e-05,8.70577e-05
84,16902.4,1.23823,1.05653,1.92461,0.78595,0.89056,0.84648,0.71871,1.24259,0.93852,1.90084,7.89327e-05,7.89327e-05,7.89327e-05
85,17098.2,1.24353,1.05756,1.9246,0.78336,0.88665,0.84429,0.71701,1.2388,0.94145,1.89912,7.12282e-05,7.12282e-05,7.12282e-05
86,17293.9,1.2246,1.02866,1.91215,0.78652,0.88559,0.84349,0.7162,1.23755,0.94202,1.89733,6.39518e-05,6.39518e-05,6.39518e-05
87,17489.6,1.22722,1.03488,1.91286,0.77801,0.89168,0.84284,0.71548,1.2388,0.94067,1.89818,5.71106e-05,5.71106e-05,5.71106e-05
88,17685.3,1.23083,1.04534,1.92146,0.78445,0.88283,0.84346,0.71608,1.23797,0.94289,1.89716,5.07115e-05,5.07115e-05,5.07115e-05
89,17880.9,1.22754,1.05196,1.91844,0.77583,0.89597,0.84442,0.7179,1.2371,0.94295,1.8961,4.47606e-05,4.47606e-05,4.47606e-05
90,18076.6,1.22959,1.02646,1.92071,0.77778,0.89048,0.84447,0.71787,1.23649,0.94156,1.89515,3.9264e-05,3.9264e-05,3.9264e-05
91,18273.1,1.16872,0.86733,1.86335,0.77531,0.89579,0.8465,0.72028,1.2379,0.93845,1.89582,3.4227e-05,3.4227e-05,3.4227e-05
92,18469.2,1.15912,0.85991,1.86891,0.78274,0.88868,0.84913,0.7219,1.23753,0.93121,1.89557,2.96546e-05,2.96546e-05,2.96546e-05
93,18665.3,1.16003,0.85856,1.86637,0.78026,0.88983,0.84713,0.72068,1.23676,0.93204,1.89507,2.55513e-05,2.55513e-05,2.55513e-05
94,18860.9,1.15466,0.85611,1.85649,0.78341,0.88844,0.84659,0.7205,1.23537,0.93272,1.89428,2.19212e-05,2.19212e-05,2.19212e-05
95,19056.7,1.14988,0.8528,1.86033,0.78474,0.88518,0.84836,0.72225,1.2338,0.93436,1.89386,1.87678e-05,1.87678e-05,1.87678e-05
96,19252.5,1.15004,0.84698,1.86456,0.78558,0.88656,0.84915,0.72276,1.23265,0.93229,1.89365,1.60943e-05,1.60943e-05,1.60943e-05
97,19448.3,1.15789,0.84832,1.86987,0.78605,0.8875,0.84912,0.72274,1.23145,0.93171,1.89336,1.39032e-05,1.39032e-05,1.39032e-05
98,19643.9,1.14717,0.85357,1.85328,0.78547,0.88547,0.84815,0.72224,1.23134,0.9323,1.89309,1.21968e-05,1.21968e-05,1.21968e-05
99,19839.4,1.14875,0.84816,1.86711,0.79595,0.87213,0.84847,0.72235,1.23149,0.93308,1.89302,1.09768e-05,1.09768e-05,1.09768e-05
100,20035.2,1.1374,0.84366,1.85514,0.79677,0.87345,0.84797,0.72211,1.23118,0.93307,1.89316,1.02443e-05,1.02443e-05,1.02443e-05
